Logical Entity,Physical HANA Table,Column,Data Type,Primary Key,Nullable,Default,Relationship / Target,Business Purpose,Owner,Retention,CDS / Model Source,Database Evidence
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,operationStatus,NVARCHAR(40),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,latencyMs,INTEGER,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,confidence,"DECIMAL(5, 4)",NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,suggestionPayload,NCLOB,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,summary,NVARCHAR(500),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,reviewState_code,NVARCHAR(40),NO,YES,,idts.cap.AiSuggestionReviewStates.code,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,reviewStateName,NVARCHAR(120),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,reviewedBy_ID,NVARCHAR(36),NO,YES,,idts.cap.Users.ID,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,reviewedByDisplayName,NVARCHAR(120),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,reviewedAt,TIMESTAMP,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,expiresAt,TIMESTAMP,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,correlationId,NVARCHAR(80),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,IsActiveEntity,BOOLEAN,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,HasActiveEntity,BOOLEAN,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,HasDraftEntity,BOOLEAN,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,DraftAdministrativeData_DraftUUID,NVARCHAR(36),NO,NO,,DRAFT.DraftAdministrativeData.DraftUUID,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,ID,NVARCHAR(36),YES,NO,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,developerProfileID,NVARCHAR(36),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,componentCategoryID,NVARCHAR(36),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,sapModuleID,NVARCHAR(36),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,developerName,NVARCHAR(120),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,developerEmail,NVARCHAR(255),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,availabilityStatusName,NVARCHAR(120),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,availabilityCriticality,INTEGER,NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,applicationComponentName,NVARCHAR(120),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,defectCategoryName,NVARCHAR(120),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,sapModuleName,NVARCHAR(120),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,responsibilityLevelName,NVARCHAR(120),NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AssignableDevelopers,BugService_AssignableDevelopers,active,BOOLEAN,NO,YES,,,Service helper entity calculated by a custom READ handler for assignment value help; current build persists an artifact because @cds.persistence.skip is absent.,CAP runtime / DonHV technical governance,Project lifecycle or until an authorized retention/deletion rule applies.,srv/service.cds: BugService.AssignableDevelopers,Production-style cds build --production artifact BugService.AssignableDevelopers.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,up__ID,NVARCHAR(36),YES,NO,,idts.cap.Bugs.ID,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,ID,NVARCHAR(36),YES,NO,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,createdAt,TIMESTAMP,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,createdBy,NVARCHAR(255),NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,modifiedAt,TIMESTAMP,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,modifiedBy,NVARCHAR(255),NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,url,NVARCHAR(5000),NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,content,BLOB,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,MIMETYPE,NVARCHAR(5000),NO,YES,application/octet-stream,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,filename,NVARCHAR(5000),NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,hash,NVARCHAR(5000),NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,status,NVARCHAR(5000),NO,YES,Unscanned,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,lastScan,TIMESTAMP,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,note,NVARCHAR(5000),NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,fileSize,BIGINT,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,IsActiveEntity,BOOLEAN,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,HasActiveEntity,BOOLEAN,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,HasDraftEntity,BOOLEAN,NO,YES,,,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs.attachments (draft),BugService_Bugs_attachments_drafts,DraftAdministrativeData_DraftUUID,NVARCHAR(36),NO,NO,,DRAFT.DraftAdministrativeData.DraftUUID,CAP draft persistence for attachment metadata linked to a draft Bug.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds + db/schema.cds + @cap-js/attachments draft compilation,Production-style cds build --production artifact BugService.Bugs_attachments_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs (draft),BugService_Bugs_drafts,ID,NVARCHAR(36),YES,NO,,,CAP draft persistence for Bug changes before activation.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.Bugs with @odata.draft.enabled,Production-style cds build --production artifact BugService.Bugs_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.Bugs (draft),BugService_Bugs_drafts,createdAt,TIMESTAMP,NO,YES,,,CAP draft persistence for Bug changes before activation.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.Bugs with @odata.draft.enabled,Production-style cds build --production artifact BugService.Bugs_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
